SurveyCaseid,date,weight,polltype,A003_rating,A003_ratinggp,v1,v3,WillVote,WillVotegp,OwnDistrictAny,KnowDistrict10,District10,District10gp,RealKnowDistrict10,District18,WongTaiSin,ShaTin,YuenLong,District10_2,sex,pob1,pob2,pob2_v2,pobgp,agegp_TP_7,agegp_TP_6,agegp_TP_5,agegp_TP,agegp2,agegp_2015,eduv2,edugp_TP,occv2,occgp,occv2_8881_others,v4_2019,inclin,v4_2019_8881_others,type,housingv2,housinggpv3,districtgp,marital,mid,midgp,civicactive
LC2016R1_000066,20211115,0.4000000,1,50,3,1,1,2,1,1,1,3,1,1,,,,,3,2,1,,,1,7,6,5,6,3,3,3,2,6,6,,2,2,,1,2,2,2,1,5,3,2
LC2016R1_000067,20211115,0.9588112,2,51,4,1,1,1,1,2,1,8885,2,2,17,,,,9,1,1,,,1,3,2,2,3,2,2,3,2,1,1,,8888,8888,,2,3,3,5,3,2,1,-99
LC2016R1_000068,20211115,1.4515082,1,1,2,1,1,4,3,1,2,,,3,15,,,,8,1,1,,,1,2,1,1,2,1,1,5,3,7,6,,3,1,,2,1,1,5,1,5,3,1
LC2016R1_000069,20211115,1.4874367,2,30,2,1,1,3,3,2,2,,,3,4,,,,2,1,2,15,2,2,2,1,1,2,1,1,3,2,2,2,,4,3,,2,1,1,1,1,5,3,1
LC2016R1_000070,20211115,0.9023727,1,0,1,1,1,2,1,2,2,,,3,10,,,,7,1,-99,40,4,-99,7,6,5,6,3,3,3,2,6,6,,4,3,,2,1,1,4,2,5,3,2
LC2016R1_000071,20211115,1.5303809,1,0,1,1,1,4,3,2,1,5,1,1,,,,,5,2,1,,,1,5,4,4,5,3,2,4,3,5,5,,8886,8886,,2,1,1,2,2,4,2,2
LC2016R1_000072,20211115,0.7622419,2,100,5,1,1,1,1,2,1,8885,2,2,12,,,,6,1,1,,,1,7,6,5,6,3,3,-99,-99,6,6,,-99,-99,,1,3,3,4,3,3,1,1
LC2016R1_000073,20211115,0.5553218,1,85,4,1,1,1,1,2,2,,,3,12,,,,6,2,5,30,3,8881,7,6,5,6,3,3,1,1,5,5,,2,2,,1,3,3,4,3,5,3,2
LC2016R1_000074,20211115,1.1075243,2,50,3,1,1,2,1,2,1,8885,2,2,-99,,,,-99,2,2,30,3,2,5,4,4,5,3,2,2,2,3,3,,8886,8886,,2,1,1,3,3,5,3,2
LC2016R1_000075,20211115,0.5653615,1,40,2,1,1,2,1,2,2,,,3,17,,,,9,2,1,,,1,7,6,5,6,3,3,3,2,6,6,,4,3,,1,2,2,5,2,5,3,2
LC2016R1_000076,20211115,0.6468260,2,0,1,1,1,1,1,1,1,3,1,1,,,,,3,2,1,,,1,3,2,2,3,2,2,5,3,1,1,,1,1,,1,3,3,2,2,4,2,2
LC2016R1_000077,20211115,1.2911559,1,0,1,1,1,3,3,2,2,,,3,13,,1,,6,2,1,,,1,2,1,1,2,1,1,4,3,7,6,,3,1,,-99,1,1,4,1,5,3,2
LC2016R1_000078,20211115,0.8472419,2,90,4,1,1,1,1,2,1,8885,2,2,4,,,,2,1,2,60,5,2,7,6,5,6,3,3,1,1,6,6,,2,2,,2,1,1,1,2,5,3,2
LC2016R1_000079,20211115,0.7285267,1,100,5,1,1,1,1,1,2,,,3,8,,,,4,2,2,30,3,2,6,5,5,6,3,3,3,2,6,6,,2,2,,1,3,3,3,2,5,3,1
LC2016R1_000080,20211115,0.8969431,1,60,4,1,1,1,1,1,1,-99,-99,-99,15,,,,8,2,2,50,4,2,6,5,5,6,3,3,3,2,6,6,,4,3,,1,3,3,5,2,5,3,2
LC2016R1_000081,20211115,1.1109680,1,0,1,1,1,1,1,1,1,8885,2,2,13,,1,,6,2,1,,,1,3,2,2,3,2,2,5,3,2,2,,1,1,,1,3,3,4,2,3,1,2
LC2016R1_000082,20211115,0.8894930,2,0,1,1,2,4,3,2,2,,,3,6,,,,3,1,1,,,1,4,3,3,4,2,2,2,2,7,6,,1,1,,2,1,1,2,2,5,3,-99
LC2016R1_000083,20211115,1.1899636,1,50,3,1,1,1,1,1,1,-99,-99,-99,-99,,,,-99,2,1,,,1,4,3,3,4,2,2,5,3,2,2,,4,3,,1,3,3,-99,1,3,1,2
LC2016R1_000084,20211115,0.8973245,1,20,2,1,1,2,1,2,2,,,3,7,,,,4,2,2,26,3,2,5,4,4,5,3,2,3,2,5,5,,4,3,,2,3,3,3,2,4,2,-99
